id,title,title_source,start,end,title_uri,ccodes,variants,types,aat_types,matches,lon,lat,geowkt,geo_source,geo_id,description,parent_name,parent_id
1,Aachen,Historical Conflict Event Dataset,1944,,,DE,,battlefield,300000835,,6.0838868,50.7753455,,,,['World War II'],,
2,Aardenburg,Historical Conflict Event Dataset,1672,,,NL,,battlefield,300000835,,3.4453328,51.2742727,,,,3rd Dutch War,,
3,Aa River,Historical Conflict Event Dataset,1917,,,LV,,battlefield,300000835,,23.5755013,56.8206989,,,,['World War I'],,
4,Aasle,Historical Conflict Event Dataset,1389,,,SE,,battlefield,300000835,,13.6869345,58.1775353,,,,Wars of Scandinavian Union,,
5,Abadan,Historical Conflict Event Dataset,1980,,,IR,,battlefield,300000835,,48.2934004,30.347296,,,,['Iraq-Iran War'],,
6,Abadan,Historical Conflict Event Dataset,1981,,,IR,,battlefield,300000835,,48.2934004,30.347296,,,,['Iraq-Iran War'],,
7,Abagana,Historical Conflict Event Dataset,1968,,,NG,,battlefield,300000835,,6.9799755,6.1864553,,,,['Biafran War'],,
8,Abakrampa,Historical Conflict Event Dataset,1873,,,GH,,battlefield,300000835,,-1.230904,5.245212,,,,2nd British Ashanti War,,
9,Abancay,Historical Conflict Event Dataset,1537,,,PE,,battlefield,300000835,,-72.8929,-13.6391954,,,,['Civil War'],,
10,Abbasabad,Historical Conflict Event Dataset,1827,,,IR,,battlefield,300000835,,51.1141183,36.7240776,,,,Russo-Persian Wars,,
11,Abeche,Historical Conflict Event Dataset,1983,,,TD,,battlefield,300000835,,20.8433709,13.8359124,,,,Chad Civil War,,
12,Abensberg,Historical Conflict Event Dataset,1809,,,DE,,battlefield,300000835,,11.8507867,48.8177181,,,,Napoleonic Wars (5th Coalition),,
13,Abercorn,Historical Conflict Event Dataset,1455,,,GB,,battlefield,300000835,,-3.4746957,55.994843,,,,Douglas Rebellion,,
14,"Aberdare, Kenya",Historical Conflict Event Dataset,1955,,,KE,,battlefield,300000835,,36.6661998,-0.4145514,,,,Mau Mau Rebellion,,
15,"Aberdare, Kenya(nd)",Historical Conflict Event Dataset,1955,,,KE,,battlefield,300000835,,36.6661998,-0.4145514,,,,Mau Mau War,,
16,"Aberdare, Wales",Historical Conflict Event Dataset,1093,,,GB,,battlefield,300000835,,-3.451816,51.716154,,,,Anglo-Welsh Wars,,
17,Aberdeen,Historical Conflict Event Dataset,1644,,,GB,,battlefield,300000835,,-2.094278,57.149717,,,,British Civil Wars,,
18,Aber Edw,Historical Conflict Event Dataset,1282,,,GB,,battlefield,300000835,,-3.3541708,52.1168663,,,,Anglo-Welsh Wars,,
19,Aboasa,Historical Conflict Event Dataset,1900,,,GH,,battlefield,300000835,,-1.5454459,6.8076157,,,,Ashanti Rising,,
20,Abomey,Historical Conflict Event Dataset,1892,,,BJ,,battlefield,300000835,,1.9979411,7.1854773,,,,['Dahomean War'],,
21,Aboukir,Historical Conflict Event Dataset,1799,,,EG,,battlefield,300000835,,30.0603342,31.3114241,,,,French Revolutionary Wars,,
22,Aboukir,Historical Conflict Event Dataset,1801,,,EG,,battlefield,300000835,,30.0603342,31.3114241,,,,French Revolutionary Wars,,
23,Abrittus,Historical Conflict Event Dataset,0251,,,BG,,battlefield,300000835,,26.5404685,43.5237175,,,,['Gothic War'],,
